open,high,low,close,volume,Time,Avg Price,5-MA,8-MA,13-MA,21-MA,55-MA,89-MA,150-MA,200-MA,5/8Cross,5/13Cross,5/21Cross,5/55Cross,5/89Cross,5/150Cross,5/200Cross,8/13Cross,8/21Cross,8/55Cross,8/89Cross,8/150Cross,8/200Cross,13/21Cross,13/55Cross,13/89Cross,13/150Cross,13/200Cross,21/55Cross,21/89Cross,21/150Cross,21/200Cross,55/89Cross,55/150Cross,55/200Cross,89/150Cross,89/200Cross,150/200Cross,label
215.9758,216.312,215.52202000000003,216.08002000000002,551315,1510,215.917,216.535,216.307,215.842,215.585,214.389,210.138,206.563,204.693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216.16400000000002,216.892,216.15202000000002,216.24352000000002,651120,1515,216.522,216.428,216.375,215.907,215.634,214.511,210.293,206.659,204.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
216.24200000000002,216.676,215.88,216.31799999999998,502470,1520,216.278,216.398,216.452,216.03,215.687,214.641,210.455,206.756,204.87,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216.338,216.924,216.328,216.68900000000002,510220,1525,216.626,216.27,216.424,216.117,215.731,214.762,210.617,206.852,204.959,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
216.67892,216.792,215.62400000000002,215.69447999999997,558110,1530,216.208,216.256,216.445,216.219,215.808,214.888,210.787,206.95,205.051,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
215.674,216.266,215.612,215.7391,685120,1535,215.939,216.31,216.388,216.308,215.871,215.006,210.945,207.045,205.141,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
215.704,216.15200000000002,215.02,216.1,831410,1540,215.586,216.315,216.265,216.352,215.926,215.122,211.11,207.138,205.23,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216.09,216.486,215.6,215.81400000000002,614710,1545,216.043,216.127,216.127,216.327,215.942,215.227,211.271,207.229,205.317,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
215.8732,215.96200000000002,215.06,215.40200000000002,806285,1550,215.511,216.08,216.14,216.292,215.956,215.337,211.434,207.324,205.409,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
215.452,216.112,215.42382,215.94099999999997,1100135,1555,215.768,215.857,216.089,216.219,215.977,215.424,211.589,207.415,205.5,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
215.90200000000002,216.12400000000002,215.42257999999998,215.8,1533320,1600,215.773,215.769,215.995,216.15,216.017,215.504,211.748,207.508,205.59,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
215.96200000000002,215.96200000000002,215.39996000000002,215.39996000000002,1112605,1605,215.681,215.736,215.932,216.062,216.046,215.58,211.91,207.602,205.678,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
215.32,215.7,215.32,215.6,103590,1610,215.51,215.755,215.814,215.984,216.064,215.641,212.07,207.697,205.766,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
